gfa,comb_add,use,ext_plan,developer,status,address,project,submarket,year,lon,lat
77100,"905 W Fulton St, 60607, Chicago, Illinois",Office,Existing,Thor,Stabilized,905 W Fulton St,Mondelez,Fulton Market,2019,-87.6501,41.8865
12000,"351 W Huron St, 60654, Chicago, Illinois",Resi,Existing,Regency,Lease Up,351 W Huron St,351 W Huron,River North,2019,-87.6377,41.8945
1504000,"131 S Dearborn St, 60603, Chicago, Illinois",Office,Existing,Prime Group,Stabilized,131 S Dearborn St,Citadel,Loop,2003,-87.629,41.8797
698000,"340 N Orleans St, 60654, Chicago, Illinois",Resi,Existing,Magellan / Kennedy / Hines,Lease Up,340 N Orleans St,WPE,River North,2019,-87.6365,41.8878
405000,"1140 N Wells St, 60610, Chicago, Illinois",Resi,Existing,Onni,Stabilized,1140 N Wells St,OldTown Park - PH I,Near North,2018,-87.6349,41.9036
503000,"201 N Columbus Dr, 60601, Chicago, Illinois",Resi,Existing,Magellan / LendLease,Construction,201 N Columbus Dr,Cascade,Lakeshore East,2023,-87.615,41.8854
134000,"30 E Balbo Av, 60605, Chicago, Illinois",Resi,Existing,Gibane Company,Stabilized,30 E Balbo Av,30 East,South Loop,2019,-87.6265,41.8733
608000,"1045 W Randolph St, 60607, Chicago, Illinois",Office,Existing,SBC,Stabilized,1045 W Randolph St,McDonalds,Fulton Market,2018,-87.6539,41.8837
171000,"747 N Wabash Ave, 60611, Chicago, Illinois",Resi,Existing,McCaffery,Stabilized,747 N Wabash Ave,Bernardin,Gold Coast,2005,-87.6269,41.8964
298000,"720 N LaSalle Dr, 60654, Chicago, Illinois",Resi,Existing,Magellan,Stabilized,720 N LaSalle Dr,Exhibit,River North,2017,-87.634,41.8954
264000,"205 S Peoria St, 60607, Chicago, Illinois",Resi,Existing,White Oak / Crayton,Stabilized,205 S Peoria St,Milleau,Far West Loop,2019,-87.6494,41.8788
1373754,"1 N Wacker Dr, 60606, Chicago, Illinois",Office,Existing,TJBC,Stabilized,1 N Wacker Dr,UBS,West Loop,2001,-87.6363,41.8823
249000,"161 W Kinzie St, 60654, Chicago, Illinois",Resi,Existing,Lynd Co.,Stabilized,161 W Kinzie St,EnV,River North,2010,-87.6336,41.8889
261000,"609 W North Ave, 60610, Chicago, Illinois",Resi,Existing,White Oak / CA Ventures,Construction,609 W North Ave,Father & Son,Old Town,2020,-87.6442,41.9106
138000,"9 W Walton St, 60610, Chicago, Illinois",Resi,Existing,JDL,Stabilized,9 W Walton St,Walton No 9,Gold Coast,2017,-87.6286,41.8999
387000,"215 W Washington Blvd, 60654, Chicago, Illinois",Resi,Existing,Jupiter/Met,Stabilized,215 W Washington Blvd,215 West,Loop,2010,-87.6342,41.8829
190000,"601 W Jackson Blvd, 60661, Chicago, Illinois",Resi,Existing,Moceri/Rozak,Stabilized,601 W Jackson Blvd,Jeff Jack,West Loop,2015,-87.643,41.8777
92000,"1435 W 15th St, 60608, Chicago, Illinois",Resi,Existing,Cedar St,Lease Up,1435 W 15th St,FLATS Chicago The Otis,Near West Side,2018,-87.6623,41.8614
297000,"808 N Wells St, 60654, Chicago, Illinois",Resi,Existing,Amli,Construction,808 N Wells St,808 N Wells,River North,2021,-87.6345,41.8968
176000,"30 E Adams St, 60603, Chicago, Illinois",Resi,Existing,Cedar Street,Construction,30 E Adams St,The Hartman,Loop,2019,-87.6265,41.8797
207000,"29 S LaSalle St, 60603, Chicago, Illinois",Resi,Existing,Doice Living,Construction,29 S LaSalle St,Millenium on LaSalle,Loop,2019,-87.6325,41.8812
56000,"508 W Diversey Parkway, 60614, Chicago, Illinois",Resi,Existing,Broder Prop.,Lease Up,508 W Diversey Parkway,No 508,Lakeview,2018,-87.6419,41.9332
444000,"465 N Park Dr, 60611, Chicago, Illinois",Resi,Existing,Jupiter/Met,Stabilized,465 N Park Dr,465 N Park,Streeterville,2018,-87.6196,41.8907
245000,"311 W Illinois St, 60654, Chicago, Illinois",Resi,Existing,TJBC,Stabilized,311 W Illinois St,3Eleven,River North,2018,-87.636,41.8904
300000,"1407 S Michigan Ave, 60605, Chicago, Illinois",Resi,Existing,"Russland Capital, Lendlease",Lease Up,1407 S Michigan Ave,1407 on Michigan,South Loop,2018,-87.624,41.8639
812000,"375 E Wacker Dr, 60601, Chicago, Illinois",Resi,Existing,Magellan,Construction,375 E Wacker Dr,Wanda,Streeterville,2021,-87.618,41.8876
102000,"405 N Wabash St, 60611, Chicago, Illinois",Resi,Existing,Belgravia,Stabilized,405 N Wabash St,Renelle,River North,2018,-87.627,41.8889
